OLD_TAG,NEW_TAG
GER,A01
ENG,A02
SOV,A03
SWE,A05
FRA,A06
LUX,A17
BEL,A09
HOL,A10
CZE,A11
POL,A12
AUS,A13
LIT,A14
EST,A15
LAT,A16
SPR,A18
ITA,A19
ROM,A20
YUG,A21
SER,A22
SWI,A23
TUR,A24
GRE,A25
ALB,A26
NOR,A27
DEN,A28
BUL,A29
POR,A30
FIN,A31
IRE,A32
HUN,A33
AFG,A34
ARG,A35
AST,A36
BHU,A37
BOL,A38
BRA,A39
CAN,A40
CHI,A41
CHL,A42
COL,A43
COS,A44
ECU,A45
ELS,A46
ETH,A47
GUA,A48
HON,A49
IRQ,A50

JAP,A51
KOR,A52
LIB,A53
MEX,A54
MEN,A55
NEP,A56
NIC,A57

NZL,A58
PAN,A59
PER,A60
PHI,A61
PRU,A62
SAF,A63
SAU,A64
SIA,A65
SIK,A66
TIB,A67
URG,A68
VEN,A69
YUN,A70
USA,A07
MON,A71
TAN,A72
PAR,A73
CUB,A74
DOM,A75
HAI,A76
YEM,A77
OMA,A78
SLO,A79
RAJ,A80
CRO,A81
GXC,A82
PRC,A08
SHX,A83
XSM,A84
ICE,A85
LEB,A86
JOR,A87
SYR,A89
EGY,A90
LBA,A91
WGR,A92
DDR,A93
PAL,A94
ISR,A95
VIN,A96
CAM,A97
MAL,A98
INS,A99
LAO,B01
